t11,t12,t13,t14,t15,t21,t22,t23,t24,t25
Swain,Graves,Azir,Sivir,Braum,Fizz,RekSai,Lissandra,Vayne,Karma
Trundle,Kindred,TwistedFate,Caitlyn,Bard,Rumble,Elise,Karma,Lucian,Braum
Trundle,Nidalee,Taliyah,Ezreal,Karma,Maokai,LeeSin,Leblanc,Sivir,Braum
Trundle,RekSai,Varus,Sivir,Nami,Maokai,Graves,Viktor,Lucian,Karma
Jax,RekSai,Lissandra,Lucian,Braum,Irelia,Gragas,Viktor,Sivir,Karma
Irelia,RekSai,Viktor,Caitlyn,Alistar,Rumble,Olaf,Ryze,Ezreal,Zyra
Swain,Kindred,Kassadin,Lucian,Karma,Fizz,Nidalee,Vladimir,Sivir,Braum
Fizz,Elise,Ryze,Lucian,Karma,Maokai,Nidalee,Azir,Ashe,Braum
Ekko,RekSai,Lissandra,Ezreal,Braum,Trundle,Elise,Azir,Sivir,Bard
Ekko,Graves,Ryze,Ashe,Trundle,Maokai,RekSai,Zed,Sivir,Karma
Ekko,RekSai,Viktor,Ezreal,Nami,Maokai,Graves,Kassadin,Lucian,Karma
Maokai,Elise,Kassadin,Sivir,Nami,Ekko,RekSai,Leblanc,Lucian,Karma
Maokai,RekSai,Viktor,Lucian,Karma,Ekko,Elise,Varus,Ezreal,Soraka
Maokai,Nidalee,Viktor,Lucian,Bard,Ekko,LeeSin,Azir,Jhin,Karma
Ekko,Elise,Varus,Ashe,Karma,Maokai,Kindred,Azir,Jhin,Braum
Maokai,Graves,Azir,Ezreal,Alistar,Trundle,RekSai,Leblanc,Caitlyn,Blitzcrank
Trundle,Gragas,Viktor,Sivir,Karma,Maokai,RekSai,Azir,Caitlyn,Blitzcrank
Gragas,Nidalee,Vladimir,Ashe,Nami,Maokai,RekSai,Yasuo,Caitlyn,Karma
Ekko,Elise,Azir,Sivir,Karma,Maokai,LeeSin,Leblanc,Lucian,Nami
Lissandra,Kindred,Vladimir,Sivir,Braum,Trundle,Elise,Anivia,Caitlyn,Karma
Maokai,Nidalee,Azir,Ezreal,Karma,Nautilus,Elise,Viktor,Sivir,Braum
Lissandra,RekSai,Leblanc,Jhin,Braum,Trundle,Gragas,Viktor,Lucian,Zyra
Gragas,LeeSin,Viktor,Draven,Karma,Maokai,Khazix,Leblanc,Sivir,Nami
Poppy,Kindred,Karma,Sivir,Bard,Trundle,Elise,Azir,Ezreal,Braum
Irelia,Gragas,Karma,Ezreal,Blitzcrank,Trundle,Elise,Vladimir,Jhin,Braum
Gnar,Elise,Fizz,Draven,Karma,Gragas,Khazix,Azir,Kalista,Nami
Trundle,Olaf,Viktor,Tristana,Braum,Fiora,Elise,Karma,Lucian,Janna
Illaoi,Nidalee,Ryze,Ashe,Thresh,Irelia,Elise,Zilean,Caitlyn,TahmKench
Trundle,Elise,Varus,Ezreal,Braum,Irelia,RekSai,Zilean,Sivir,Karma
Irelia,Graves,Viktor,Jhin,Morgana,Trundle,Gragas,Ryze,Sivir,Karma
Fizz,RekSai,Cassiopeia,Lucian,Zyra,Irelia,Gragas,Vladimir,Sivir,Soraka
Trundle,Graves,Cassiopeia,Lucian,Nami,Swain,RekSai,Viktor,Ashe,Karma
Gragas,Graves,Lissandra,Ashe,Karma,Ekko,Kindred,Viktor,Caitlyn,Janna
Jax,RekSai,Vladimir,Ezreal,Braum,Irelia,Olaf,Azir,Lucian,Karma
Fiora,Nidalee,Karma,Ezreal,Braum,Shen,Hecarim,Viktor,Jhin,Nami
Maokai,Kindred,Lissandra,Ezreal,Bard,Ekko,Gragas,Viktor,Caitlyn,Janna
Shen,Nidalee,Ryze,Caitlyn,Braum,Maokai,RekSai,Viktor,Ashe,Soraka
Gnar,Gragas,Viktor,Ezreal,Braum,Trundle,RekSai,Azir,Jhin,Thresh
Poppy,Elise,Azir,MissFortune,Karma,Olaf,Gragas,Zed,Sivir,Nami
Fizz,Gragas,Lissandra,Sivir,Karma,Jax,RekSai,Viktor,Lucian,Braum
Gragas,Elise,Viktor,Caitlyn,Bard,Irelia,Nidalee,Fizz,Sivir,Karma
Maokai,RekSai,Vladimir,Twitch,Zyra,Irelia,Olaf,Ryze,Sivir,Nami
Rumble,Olaf,Viktor,Sivir,Braum,Fizz,RekSai,Azir,Ezreal,Karma
Maokai,Graves,Lissandra,Caitlyn,Zyra,Irelia,Nidalee,TwistedFate,Sivir,Soraka
Irelia,Gragas,Viktor,Caitlyn,Janna,Shen,Khazix,Ryze,Sivir,Nami
Irelia,Gragas,Zilean,Ashe,Karma,Illaoi,RekSai,Ryze,Jhin,Zyra
Maokai,Gragas,Vladimir,Sivir,Karma,Irelia,RekSai,Anivia,Caitlyn,Zyra
Olaf,RekSai,Fizz,Ezreal,Thresh,Maokai,Nidalee,Azir,Lucian,Nami
Trundle,RekSai,Anivia,Ezreal,Zyra,Irelia,Gragas,Vladimir,Jhin,Karma
Ekko,Kindred,Lissandra,Lucian,Karma,Trundle,Graves,Azir,Ezreal,Braum
Trundle,Gragas,Viktor,Caitlyn,Janna,Poppy,Kindred,Azir,Ashe,Karma
Irelia,Elise,Azir,Lucian,Karma,Shen,Graves,Leblanc,Sivir,Nami
Shen,RekSai,Viktor,Caitlyn,Braum,Irelia,Elise,Swain,Sivir,Karma
Shen,Elise,Vladimir,Ashe,Karma,Maokai,LeeSin,Anivia,Sivir,Braum
Ekko,Gragas,Zilean,Lucian,Bard,Olaf,Kindred,Karma,Ezreal,Braum
Shen,Kindred,Viktor,Kalista,Alistar,Maokai,LeeSin,Ryze,Sivir,Braum
JarvanIV,RekSai,Zilean,Caitlyn,Bard,Irelia,Graves,Ekko,Sivir,Zyra
Ekko,Kindred,Lissandra,Ezreal,Nami,Fiora,Graves,TwistedFate,Lucian,Karma
Shen,Graves,Anivia,Sivir,Alistar,Maokai,Hecarim,Kassadin,Jhin,Braum
Jax,Gragas,Varus,Jhin,Braum,Maokai,RekSai,Kassadin,Ashe,Karma
Jax,Elise,Swain,Caitlyn,Braum,Fizz,Kindred,Anivia,Ezreal,Karma
Maokai,Nidalee,Azir,Lucian,Karma,Trundle,Kindred,Viktor,Ezreal,Braum
Ekko,Graves,Viktor,Kalista,Thresh,Shen,Nidalee,Azir,Sivir,Bard
Ekko,Gragas,Varus,Ashe,Karma,Trundle,Elise,Azir,Sivir,Bard
Fizz,Kindred,Vladimir,Jhin,Braum,Ekko,RekSai,Swain,Ezreal,Bard
Maokai,Kindred,Karma,Jhin,Nami,Ekko,Elise,Varus,Ezreal,Braum
Fizz,Graves,Azir,Lucian,Alistar,Swain,Kindred,Viktor,Ezreal,Braum
Ekko,RekSai,Karma,Ashe,Nami,Fiora,Elise,Viktor,Ezreal,Braum
