t11,t12,t13,t14,t15,t21,t22,t23,t24,t25
腕豪,盲僧,英勇投弹手,探险家,天启者,未来守护者,狂战士,诡术妖姬,残月之肃,深海泰坦
山隐之焰,虚空遁地兽,卡牌大师,探险家,深海泰坦,解脱者,法外狂徒,暮光星灵,虚空之女,魔法猫咪
暗裔剑魔,狂野女猎手,暗黑元首,复仇之矛,腕豪,荒漠屠夫,蜘蛛女皇,铸星龙王,残月之肃,深海泰坦
诺克萨斯之手,虚空遁地兽,魔蛇之拥,残月之肃,魂锁典狱长,暗裔剑魔,巨魔之王,发条魔灵,探险家,星界游神
荒漠屠夫,永猎双子,诡术妖姬,赏金猎人,魂锁典狱长,齐天大圣,腕豪,暗黑元首,荣耀行刑官,深海泰坦
山隐之焰,狂战士,沙漠皇帝,复仇之矛,魂锁典狱长,圣锤之毅,时间刺客,影流之主,虚空之女,弗雷尔卓德之心
暗裔剑魔,盲僧,暗黑元首,残月之肃,瓦洛兰之盾,海洋之灾,巨魔之王,潮汐海灵,复仇之矛,深海泰坦
暗裔剑魔,狂野女猎手,诡术妖姬,赏金猎人,魔法猫咪,荒漠屠夫,巨魔之王,暮光星灵,探险家,仙灵女巫
武器大师,盲僧,卡牌大师,探险家,腕豪,暗裔剑魔,法外狂徒,沙漠皇帝,复仇之矛,曙光女神
暗裔剑魔,狂野女猎手,机械公敌,复仇之矛,腕豪,荒漠屠夫,盲僧,铸星龙王,残月之肃,曙光女神
荒漠屠夫,法外狂徒,天启者,爆破鬼才,河流之王,暗裔剑魔,狂野女猎手,虚空之眼,残月之肃,曙光女神
山隐之焰,永猎双子,机械先驱,探险家,众星之子,腕豪,时间刺客,英勇投弹手,残月之肃,魔法猫咪
未来守护者,盲僧,发条魔灵,残月之肃,魂锁典狱长,青钢影,狂战士,卡牌大师,探险家,魔法猫咪
铁铠冥魂,法外狂徒,暗黑元首,寒冰射手,魂锁典狱长,荒漠屠夫,狂战士,诡术妖姬,残月之肃,蒸汽机器人
暗裔剑魔,盲僧,暗黑元首,复仇之矛,魂锁典狱长,荒漠屠夫,巨魔之王,正义巨像,寒冰射手,腕豪
山隐之焰,巨魔之王,猩红收割者,探险家,魔法猫咪,齐天大圣,酒桶,疾风剑豪,战争女神,天启者
铁铠冥魂,盲僧,魔蛇之拥,残月之肃,魂锁典狱长,荒漠屠夫,巨魔之王,英勇投弹手,探险家,天启者
暗裔剑魔,狂野女猎手,正义巨像,残月之肃,魂锁典狱长,山隐之焰,法外狂徒,英勇投弹手,赏金猎人,深海泰坦
山隐之焰,腕豪,虚空行者,复仇之矛,魂锁典狱长,齐天大圣,时间刺客,仙灵女巫,残月之肃,魔法猫咪
荒漠屠夫,虚空遁地兽,暮光星灵,残月之肃,曙光女神,扭曲树精,永猎双子,诡术妖姬,探险家,深海泰坦
荒漠屠夫,狂野女猎手,时间刺客,惩戒之箭,河流之王,铁铠冥魂,法外狂徒,正义巨像,赏金猎人,曙光女神
