wei1,name1,wei2,name2,lift
上,Akali,野,XinZhao,4.758552501483092
野,XinZhao,上,Akali,4.758552501483092
中,Lucian,上,Chogath,4.681409038527424
上,Chogath,中,Lucian,4.681409038527424
上,Chogath,下,KogMaw,3.197746632442133
下,KogMaw,上,Chogath,3.197746632442133
下,Tristana,上,Chogath,4.663380505644777
上,Chogath,下,Tristana,4.663380505644777
上,Chogath,下,Twitch,3.8523578090109027
下,Twitch,上,Chogath,3.8523578090109023
辅,Janna,上,Chogath,5.693028771493915
上,Chogath,辅,Janna,5.693028771493915
野,Kindred,上,DrMundo,6.082243729014418
上,DrMundo,野,Kindred,6.082243729014419
中,Viktor,上,Ekko,5.041621162480281
上,Ekko,中,Viktor,5.041621162480281
下,Jhin,上,Ekko,3.804878048780488
上,Ekko,下,Jhin,3.8048780487804885
下,Sivir,上,Ekko,3.772769373263353
上,Ekko,下,Sivir,3.772769373263353
辅,Karma,上,Fizz,3.7964601769911503
上,Fizz,辅,Karma,3.7964601769911503
中,Malzahar,上,Gnar,3.4778267665103697
上,Gnar,中,Malzahar,3.4778267665103697
辅,Trundle,上,Gnar,3.658369686083312
上,Gnar,辅,Trundle,3.658369686083312
上,Gragas,野,Khazix,3.2895012220780133
野,Khazix,上,Gragas,3.2895012220780133
野,Rengar,上,Gragas,3.6465802401362564
上,Gragas,野,Rengar,3.6465802401362555
上,Gragas,辅,Lulu,3.65566965261088
辅,Lulu,上,Gragas,3.65566965261088
辅,Zyra,上,Gragas,3.1272101246975614
上,Gragas,辅,Zyra,3.1272101246975614
上,JarvanIV,野,Maokai,8.605318173482486
野,Maokai,上,JarvanIV,8.605318173482486
上,JarvanIV,中,Taliyah,3.1408134579772873
中,Taliyah,上,JarvanIV,3.140813457977287
上,JarvanIV,下,KogMaw,3.979150884730623
下,KogMaw,上,JarvanIV,3.979150884730623
上,JarvanIV,下,Tristana,3.626830233478433
下,Tristana,上,JarvanIV,3.626830233478433
上,JarvanIV,辅,Janna,3.9156208277703604
辅,Janna,上,JarvanIV,3.91562082777036
上,Maokai,野,Khazix,3.789074761704245
野,Khazix,上,Maokai,3.7890747617042453
辅,Malzahar,上,Maokai,3.8528638991066733
上,Maokai,辅,Malzahar,3.852863899106673
辅,MissFortune,上,Maokai,6.318343320782734
上,Maokai,辅,MissFortune,6.318343320782734
辅,Zyra,上,Maokai,3.041265253692999
上,Maokai,辅,Zyra,3.041265253692999
野,Trundle,上,MonkeyKing,3.177464788732394
上,MonkeyKing,野,Trundle,3.177464788732394
野,Volibear,上,MonkeyKing,4.327722772277228
上,MonkeyKing,野,Volibear,4.327722772277228
上,MonkeyKing,中,TwistedFate,3.9597722960151804
中,TwistedFate,上,MonkeyKing,3.95977229601518
下,Aphelios,上,MonkeyKing,3.7439707673568816
上,MonkeyKing,下,Aphelios,3.7439707673568816
辅,Sett,上,MonkeyKing,5.469090909090908
上,MonkeyKing,辅,Sett,5.469090909090908
野,Volibear,上,Mordekaiser,3.5799810117998097
上,Mordekaiser,野,Volibear,3.5799810117998097
下,Aphelios,上,Mordekaiser,3.449892379824137
上,Mordekaiser,下,Aphelios,3.449892379824137
辅,Leona,上,Mordekaiser,3.312099967733419
上,Mordekaiser,辅,Leona,3.312099967733419
上,Nautilus,野,Graves,3.402533550733726
野,Graves,上,Nautilus,3.4025335507337258
上,Nautilus,野,Khazix,4.187275542815724
野,Khazix,上,Nautilus,4.187275542815723
上,Nautilus,野,Rengar,6.069384171579079
野,Rengar,上,Nautilus,6.06938417157908
上,Nautilus,中,Ahri,5.006731050629207
中,Ahri,上,Nautilus,5.006731050629208
